magx,magy,magz
-95.9090909090909,70.54545454545455,-108.77551020408163
-80.0909090909091,62.36363636363637,-99.89795918367346
-59.27272727272728,55.18181818181817,-122.3469387755102
-61.81818181818181,56.81818181818182,-159.3877551020408
-96.81818181818181,74.81818181818181,-162.24489795918367
-105.45454545454544,75.0,-112.65306122448979
-74.72727272727273,64.36363636363637,-102.14285714285714
-49.18181818181818,56.72727272727273,-132.04081632653063
-65.72727272727272,63.81818181818182,-166.22448979591837
-104.81818181818181,73.81818181818181,-152.0408163265306
-101.36363636363637,74.63636363636364,-111.0204081632653
-61.272727272727266,57.27272727272727,-111.42857142857143
-52.545454545454554,56.27272727272727,-145.40816326530611
-90.27272727272727,69.0,-163.87755102040816
-108.9090909090909,75.27272727272727,-125.71428571428571
-93.81818181818183,67.27272727272727,-94.6938775510204
-54.36363636363636,54.36363636363636,-118.57142857142857
-67.81818181818183,61.727272727272734,-163.67346938775512
-100.27272727272727,71.0,-157.04081632653063
-101.45454545454547,71.81818181818181,-108.6734693877551
-69.0,59.18181818181818,-104.08163265306123
-52.45454545454545,57.45454545454546,-146.9387755102041
-86.0909090909091,70.0,-167.3469387755102
-111.45454545454545,76.18181818181819,-121.9387755102041
-83.9090909090909,69.0,-101.0204081632653
-55.63636363636364,54.45454545454545,-127.14285714285714
-70.18181818181817,61.909090909090914,-164.3877551020408
-104.18181818181817,75.63636363636364,-149.69387755102042
-100.27272727272727,70.72727272727273,-108.26530612244898
-61.45454545454545,55.36363636363636,-109.89795918367346
-52.63636363636364,56.36363636363636,-145.40816326530611
-86.72727272727273,71.27272727272728,-165.40816326530611
-107.27272727272728,76.45454545454545,-127.24489795918367
-86.0909090909091,58.27272727272727,-101.0204081632653
-54.36363636363636,55.09090909090909,-118.9795918367347
-76.0,62.272727272727266,-166.22448979591837
-105.9090909090909,75.36363636363636,-141.12244897959184
-94.18181818181817,67.45454545454545,-104.08163265306123
-55.72727272727273,54.0,-112.44897959183673
-60.27272727272728,59.63636363636363,-160.6122448979592
-97.0909090909091,71.0,-157.75510204081633
-104.45454545454544,74.81818181818181,-115.20408163265306
-74.45454545454545,60.909090909090914,-101.22448979591836
-48.63636363636364,52.81818181818182,-139.0816326530612
-75.54545454545455,60.27272727272728,-165.20408163265304
-106.81818181818181,76.72727272727272,-145.7142857142857
-98.9090909090909,71.63636363636363,-108.3673469387755
-59.909090909090914,59.0,-111.0204081632653
-51.272727272727266,54.54545454545454,-142.95918367346937
-79.27272727272727,67.81818181818183,-167.55102040816328
-105.72727272727273,73.54545454545455,-143.77551020408163
-103.9090909090909,70.45454545454545,-106.12244897959184
-62.909090909090914,58.09090909090909,-106.83673469387756
-61.36363636363637,58.81818181818181,-149.79591836734693
-84.72727272727273,69.63636363636364,-168.3673469387755
-109.72727272727272,76.0909090909091,-131.3265306122449
-84.27272727272728,58.36363636363636,-101.73469387755102
