comment,time,phase,balo,latitude,longitude,duty_R,duty_L,theta,cornangle,distance
threading,0.0014050006866455078,land,-1,-1,-1,-1,-1,-1,,-1
threading,3.005096435546875,gps,-1,30.374776666666666,130.95988,35.0,50.4,-11.662129013933594,,-1
dutychange,4.395313501358032,gps,-1,30.37477833333333,130.95988333333332,20.0,13.2,-11.662129013933594,172.035392554504,-1
threading,6.008487224578857,gps,-1,30.374786666666665,130.95989166666666,20.0,15.839999999999998,-0.412866137415234,,-1
dutychange,6.450855731964111,gps,-1,30.374786666666665,130.95989166666666,20.0,14.399999999999999,-0.412866137415234,157.5038190408253,-1
dutychange,8.555537700653076,gps,-1,30.374795,130.959895,28.0,21.599999999999998,-8.386654347110856,163.66951588481132,-1
threading,9.011170387268066,gps,-1,30.374798333333334,130.95989666666668,28.0,21.599999999999998,-8.386654347110856,,-1
dutychange,10.610453844070435,gps,-1,30.374808333333334,130.95989833333334,28.0,28.799999999999997,24.15738743287754,131.25240174868327,-1
threading,12.014646530151367,gps,-1,30.374813333333332,130.95989833333334,28.0,34.559999999999995,10.87197851863804,,-1
dutychange,12.765408515930176,gps,-1,30.374816666666668,130.95989833333334,28.0,24.0,10.87197851863804,147.76315367210307,-1
dutychange,14.821754932403564,gps,-1,30.374825,130.959895,28.0,30.0,68.13035003893681,93.15057318369934,-1
threading,15.018309593200684,gps,-1,30.374825,130.959895,28.0,30.0,68.13035003893681,,-1
dutychange,17.028192043304443,gps,-1,30.37483,130.95989166666666,28.0,22.8,78.34456403150364,85.45453139555906,-1
threading,18.021958351135254,gps,-1,30.374833333333335,130.95988833333334,28.0,22.8,78.34456403150364,,-1
dutychange,19.083215713500977,gps,-1,30.374836666666667,130.95988666666668,28.0,28.799999999999997,98.78855061752071,68.32461859020194,-1
threading,21.025371313095093,gps,-1,30.374838333333333,130.95988333333332,28.0,34.559999999999995,122.47825382834758,,-1
dutychange,21.188465356826782,gps,-1,30.374838333333333,130.95988333333332,28.0,32.4,122.47825382834758,47.463664655057684,-1
dutychange,23.343387603759766,gps,-1,30.374838333333333,130.95988333333332,28.0,31.2,144.18148519804782,25.760433285357436,-1
threading,24.029035091400146,gps,-1,30.374838333333333,130.95988333333332,28.0,31.2,144.18148519804782,,-1
dutychange,25.548341035842896,gps,-1,30.374838333333333,130.95988333333332,28.0,24.0,141.23517914463423,28.70673933877103,-1
threading,27.032500982284546,gps,-1,30.374838333333333,130.95988333333332,28.0,28.799999999999997,101.60567888128853,,-1
dutychange,27.653866291046143,gps,-1,30.374838333333333,130.95988333333332,28.0,24.0,101.60567888128853,68.33623960211673,-1
