comment,time,phase,balo,latitude,longitude,duty_R,duty_L,theta,corn,distance
threading,5.04787802696228,deployment,1020.6062525777041,36.11411666666667,140.09784333333334,-1,-1,-39.52712107641286,corn,-1
threading,8.052253007888794,deployment,1020.6062525777041,36.11411666666667,140.09784333333334,-1,-1,-39.52712107641286,corn,-1
threading,11.056023120880127,deployment,1020.6062525777041,36.11411666666667,140.09784333333334,-1,-1,-39.52712107641286,corn,-1
threading,14.059628009796143,deployment,1020.6062525777041,36.11411666666667,140.09784333333334,-1,-1,-39.52712107641286,corn,-1
open,15.0484037399292,deployment,1020.6062525777041,36.11411666666667,140.09784333333334,-1,-1,-39.52712107641286,corn,-1
threading,17.063520193099976,deployment,1020.6062525777041,36.11411666666667,140.09784333333334,30.0,30.0,-39.52712107641286,corn,-1
threading,20.06732177734375,deployment,1020.6062525777041,36.11411666666667,140.09784333333334,30.0,30.0,-39.52712107641286,corn,-1
threading,23.068231105804443,deployment,1020.6062525777041,36.11411666666667,140.09784333333334,30.0,30.0,-39.52712107641286,corn,-1
threading,26.07195520401001,deployment,1020.6062525777041,36.11411833333333,140.09784333333334,30.0,30.0,-39.52712107641286,corn,-1
deployment,28.812806129455566,deployment,1020.6062525777041,36.11411833333333,140.09784333333334,0,0,-39.52712107641286,corn,-1
threading,29.07364249229431,gps,1020.6062525777041,36.11411833333333,140.09784333333334,5,5,46.2507378685386,corn,-1
threading,32.07711052894592,gps,1020.6062525777041,36.11411833333333,140.09784333333334,35.0,35.0,50.014169521759314,corn,-1
dutychange,32.223986864089966,gps,1020.6062525777041,36.11411833333333,140.09784333333334,25.0,35.0,50.014169521759314,corn,-1
