comment,time,phase,balo,latitude,longitude,duty_R,duty_L,theta,cornangle,distance
threading,0.0023636817932128906,land,-1,-1,-1,-1,-1,-1,,-1
threading,3.006330966949463,gps,-1,36.11206833333333,140.09853166666667,35.0,50.4,19.156841830262216,,-1
dutychange,3.7462871074676514,gps,-1,36.112075,140.098525,28.0,32.4,19.156841830262216,27.790192320612896,-1
dutychange,5.951901435852051,gps,-1,36.112093333333334,140.098515,28.0,26.4,-114.59017449161279,163.84583806321723,-1
threading,6.009294748306274,gps,-1,36.112093333333334,140.098515,28.0,26.4,-114.59017449161279,,-1
