comment,time,phase,balo,latitude,longitude,duty_R,duty_L,theta,corn,distance
threading,0.004752159118652344,camera,-1,-1,-1,-1,-1,-1,corn,-1
threading,3.008735418319702,camera,-1,36.11194833333333,140.09840833333334,-1,-1,-1,corn,1197.3947882652283
threading,6.016612529754639,camera,-1,36.11194833333333,140.09840833333334,-1,-1,-1,corn,1197.3947882652283
threading,9.02063512802124,camera,-1,36.11194833333333,140.09840833333334,-1,-1,-1,corn,1197.3947882652283
threading,12.024463653564453,camera,-1,36.11194833333333,140.09840833333334,-1,-1,-1,corn,1197.3947882652283
