comment,time,phase,balo,latitude,longitude,duty_R,duty_L,theta,corn,distance
threading,5.044785499572754,deployment,1020.4432111715538,36.114155,140.09783833333333,-1,-1,133.51889725783943,corn,-1
threading,8.045596837997437,deployment,1020.4432111715538,36.114155,140.09783833333333,-1,-1,133.51889725783943,corn,-1
threading,11.04903244972229,deployment,1020.4432111715538,36.114155,140.09783833333333,-1,-1,133.51889725783943,corn,-1
threading,14.05260944366455,deployment,1020.4432111715538,36.114155,140.09783833333333,-1,-1,133.51889725783943,corn,-1
open,15.055080652236938,deployment,1020.4432111715538,36.114155,140.09783833333333,-1,-1,133.51889725783943,corn,-1
threading,17.056060552597046,deployment,1020.4432111715538,36.114155,140.09783833333333,30.0,30.0,133.51889725783943,corn,-1
threading,20.059151649475098,deployment,1020.4432111715538,36.114153333333334,140.09783666666667,30.0,30.0,133.51889725783943,corn,-1
threading,23.062700033187866,deployment,1020.4432111715538,36.11414333333333,140.09783,30.0,30.0,133.51889725783943,corn,-1
threading,26.06625008583069,deployment,1020.4432111715538,36.114135,140.09782666666666,30.0,30.0,133.51889725783943,corn,-1
deployment,28.821133375167847,deployment,1020.4432111715538,36.114125,140.09783,0,0,133.51889725783943,corn,-1
threading,29.069355726242065,gps,1020.4432111715538,36.114125,140.09783,5,5,176.67542962585455,corn,-1
threading,32.07255220413208,gps,1020.4432111715538,36.114126666666664,140.09783,35.0,35.0,179.5650017291085,corn,-1
dutychange,32.232648611068726,gps,1020.4432111715538,36.114126666666664,140.09783,35.0,25.0,179.5650017291085,corn,-1
dutychange,34.289321422576904,gps,1020.4432111715538,36.114126666666664,140.09783,35.0,26.0,-176.33964313606708,corn,-1
threading,35.07639718055725,gps,1020.4432111715538,36.114126666666664,140.09783,35.0,26.0,-176.33964313606708,corn,-1
dutychange,36.347506284713745,gps,1020.4432111715538,36.114126666666664,140.09783,35.0,28.0,177.89172612812422,corn,-1
threading,38.07995557785034,gps,1020.4432111715538,36.114126666666664,140.09783,35.0,28.0,-176.5242170012421,corn,-1
dutychange,38.35426902770996,gps,1020.4432111715538,36.114126666666664,140.09783,35.0,28.0,-176.5242170012421,corn,-1
dutychange,40.41021466255188,gps,1020.4432111715538,36.114126666666664,140.09783,35.0,25.0,-177.99464150342146,corn,-1
threading,41.08302688598633,gps,1020.4432111715538,36.114126666666664,140.09783,35.0,25.0,-177.99464150342146,corn,-1
dutychange,42.41742515563965,gps,1020.4432111715538,36.114126666666664,140.09783,35.0,25.0,-178.47392138525112,corn,-1
threading,44.086671113967896,gps,1020.4432111715538,36.114126666666664,140.09783,35.0,25.0,-176.29505778943349,corn,-1
dutychange,44.42848539352417,gps,1020.4432111715538,36.114126666666664,140.09783,35.0,25.0,-176.29505778943349,corn,-1
dutychange,46.485809087753296,gps,1020.4432111715538,36.114126666666664,140.09783,35.0,27.0,178.55390557143326,corn,-1
threading,47.090332984924316,gps,1020.4432111715538,36.114126666666664,140.09783,35.0,27.0,178.55390557143326,corn,-1
dutychange,48.543561935424805,gps,1020.4432111715538,36.114126666666664,140.09783,35.0,25.0,177.85266857252924,corn,-1
threading,50.09392285346985,gps,1020.4432111715538,36.114126666666664,140.09783,0,0,-175.47668351069066,corn,-1
threading,53.097537994384766,gps,1020.4432111715538,36.114126666666664,140.09783,0,0,-51.364155749115476,corn,-1
threading,56.10017776489258,gps,1020.4432111715538,36.114126666666664,140.09783,0,0,10.690268650250998,corn,-1
notmove,57.927011013031006,gps,1020.4432111715538,36.114126666666664,140.09783,0,0,91.99218141362962,corn,-1
threading,59.10386395454407,gps,1020.4432111715538,36.114126666666664,140.09783,5,5,90.26235966895254,corn,-1
dutychange,60.233795166015625,gps,1020.4432111715538,36.114126666666664,140.09783,35.0,30.0,90.26235966895254,corn,-1
threading,62.10747838020325,gps,1020.4432111715538,36.114126666666664,140.09783,35.0,30.0,103.96652401617786,corn,-1
dutychange,62.390620708465576,gps,1020.4432111715538,36.114126666666664,140.09783,35.0,27.0,103.96652401617786,corn,-1
dutychange,64.44537353515625,gps,1020.4432111715538,36.114125,140.09782333333334,35.0,32.0,150.4005351901737,corn,-1
threading,65.11086392402649,gps,1020.4432111715538,36.11412333333333,140.09782,35.0,32.0,150.4005351901737,corn,-1
dutychange,66.50124979019165,gps,1020.4432111715538,36.114115,140.09781666666666,35.0,27.0,163.88764095609076,corn,-1
threading,68.11425948143005,gps,1020.4432111715538,36.11411,140.09781666666666,35.0,27.0,-166.14749936555157,corn,-1
dutychange,68.55786967277527,gps,1020.4432111715538,36.114105,140.09781833333332,35.0,32.0,-166.14749936555157,corn,-1
dutychange,70.66338062286377,gps,1020.4432111715538,36.11409666666667,140.097825,35.0,22.0,-166.14749936555157,corn,-1
threading,71.1178503036499,gps,1020.4432111715538,36.11409666666667,140.097825,35.0,22.0,-166.14749936555157,corn,-1
dutychange,72.81818532943726,gps,1020.4432111715538,36.11409666666667,140.09783166666668,35.0,34.0,-109.95398158638383,corn,-1
threading,74.12124943733215,gps,1020.4432111715538,36.11409833333333,140.097835,35.0,34.0,-80.36490853216318,corn,-1
dutychange,74.97509527206421,gps,1020.4432111715538,36.1141,140.09783833333333,35.0,35.0,-80.36490853216318,corn,-1
threading,77.12383818626404,gps,1020.4432111715538,36.114105,140.09784333333334,34.0,35.0,-65.33467877392434,corn,-1
