comment,time,phase,balo,latitude,longitude,duty_R,duty_L,theta,cornangle,distance
threading,0.0010638236999511719,land,-1,-1,-1,-1,-1,-1,,-1
threading,3.004589796066284,gps,-1,30.374478333333332,130.95947,30.0,43.199999999999996,-22.746224230608682,,-1
dutychange,3.9681363105773926,gps,-1,30.374483333333334,130.95946166666667,21.0,36.0,-22.746224230608682,-82.78433901744734,-1
threading,6.0080060958862305,gps,-1,30.374501666666667,130.95945166666667,21.0,46.559999999999995,-23.990299914940348,,-1
dutychange,6.12419319152832,gps,-1,30.374501666666667,130.95945166666667,21.0,36.0,-23.990299914940348,-82.05132983294664,-1
dutychange,8.283047676086426,gps,-1,30.374521666666666,130.959445,21.0,36.0,-28.420622874882003,-79.75211503846842,-1
threading,9.011668682098389,gps,-1,30.374515,130.95944666666668,21.0,36.0,-28.420622874882003,,-1
dutychange,10.44205927848816,gps,-1,30.374513333333333,130.95946,21.0,36.0,-24.76799635867966,-83.55238062944588,-1
threading,12.015193939208984,gps,-1,30.374513333333333,130.95946333333333,21.0,43.199999999999996,-22.130598325095587,,-1
dutychange,12.59869647026062,gps,-1,30.37451666666667,130.95946833333332,21.0,36.0,-22.130598325095587,-86.4723093485122,-1
dutychange,14.757159233093262,gps,-1,30.374535,130.95947333333334,21.0,36.0,-23.39176944037346,-86.74540971619061,-1
threading,15.018806219100952,gps,-1,30.374535,130.95947333333334,21.0,36.0,-23.39176944037346,,-1
dutychange,16.913764715194702,gps,-1,30.374571666666668,130.95947333333334,21.0,36.0,-23.301057819189143,-88.80592294493157,-1
threading,18.020460605621338,gps,-1,30.37459,130.959475,21.0,43.199999999999996,-26.4737118736894,,-1
dutychange,19.069839239120483,gps,-1,30.374606666666665,130.95947666666666,21.0,36.0,-26.4737118736894,-89.16169242793039,-1
