comment,time,phase,balo,latitude,longitude,duty_R,duty_L,theta,corn,distance
threading,0.001680135726928711,camera,-1,-1,-1,-1,-1,-1,corn,-1
threading,3.005333662033081,camera,-1,0.0,0.0,-1,-1,-1,corn,100.03697872161865
threading,6.0089287757873535,camera,-1,0.0,0.0,-1,-1,-1,corn,100.03697872161865
threading,9.012711763381958,camera,-1,0.0,0.0,-1,-1,-1,corn,100.03697872161865
threading,12.016418933868408,camera,-1,0.0,0.0,-1,-1,-1,corn,100.03697872161865
threading,15.019121646881104,camera,-1,0.0,0.0,-15,15,96.39838641561857,corn,100.03697872161865
threading,18.021642923355103,camera,-1,0.0,0.0,-10,10,31.698575718949296,corn,100.03697872161865
threading,21.02506136894226,camera,-1,0.0,0.0,0,0,15.841752348353022,corn,234.56597328186035
threading,24.02773118019104,camera,-1,0.0,0.0,0,0,15.841752348353022,corn,234.56597328186035
threading,27.0311758518219,camera,-1,0.0,0.0,0,0,15.841752348353022,corn,234.56597328186035
threading,30.031725645065308,camera,-1,0.0,0.0,0,0,15.841752348353022,corn,234.56597328186035
threading,33.035088300704956,camera,-1,0.0,0.0,5,5,15.79226280415888,corn,234.56597328186035
threading,36.03847813606262,camera,-1,0.0,0.0,17.5,17.5,15.79226280415888,corn,234.56597328186035
threading,39.042134523391724,camera,-1,0.0,0.0,10,-10,0.48694814399852787,corn,234.56597328186035
threading,42.04431223869324,camera,-1,0.0,0.0,0,0,21.79920834230709,corn,135.04475355148315
threading,45.047725200653076,camera,-1,0.0,0.0,0,0,21.79920834230709,corn,135.04475355148315
threading,48.05121731758118,camera,-1,0.0,0.0,0,0,21.79920834230709,corn,135.04475355148315
threading,51.05467224121094,camera,-1,0.0,0.0,0,0,21.79920834230709,corn,135.04475355148315
threading,54.05571246147156,camera,-1,0.0,0.0,18,-18,24.023876807062674,corn,135.04475355148315
threading,57.05912899971008,camera,-1,0.0,0.0,0,0,40.10724107332743,corn,135.04475355148315
threading,60.06252074241638,camera,-1,0.0,0.0,0,0,52.3770351141967,corn,114.02428150177002
threading,63.06614422798157,camera,-1,0.0,0.0,0,0,52.3770351141967,corn,114.02428150177002
threading,66.06929469108582,camera,-1,0.0,0.0,0,0,52.3770351141967,corn,114.02428150177002
threading,69.07283926010132,camera,-1,0.0,0.0,0,0,52.3770351141967,corn,114.02428150177002
threading,72.07646989822388,camera,-1,0.0,0.0,-15,15,-170.07600128753813,corn,114.02428150177002
threading,75.07988262176514,camera,-1,0.0,0.0,-10,10,88.31090778822286,corn,114.02428150177002
