lati,longi,g_lati,g_longi,x,y,distance,move,theta_abs,theta_rela,theta_delta,duty,duty_R,duty_L
36.111575,140.09832,36.111628333333336,140.09838166666665,-5.701741956292162,-5.732413504272699,8.085197951819756,6086042.864050283,71.53187737695973,-116.37818469353674,1000,20,25,25
36.111575,140.098315,36.111628333333336,140.09838166666665,-5.85178791997961,-5.917330028489232,8.322152157133374,0.23813423136378015,85.61508175560985,-130.29600539037716,13.917820696840423,20,14,20
36.111575,140.09831,36.111628333333336,140.09838166666665,-6.151879608712358,-5.917329823132604,8.535831239886685,0.30009168873281855,56.04693939737914,-102.16027009722472,-28.135735293152436,20,17,20
36.111578333333334,140.09830166666666,36.111628333333336,140.09838166666665,-6.902108975226677,-6.102245887275785,9.212845009804457,0.7726823753384582,6.448408089629146,-54.96808423213418,-47.19218586509054,20,16,20
36.111583333333336,140.09830833333334,36.111628333333336,140.09838166666665,-6.902108246087759,-5.177662767935544,8.628284301017127,0.9245831193405285,-48.82584424595328,-4.298512339035284,-50.6695718930989,20,19,20
36.11158666666667,140.09831833333334,36.111628333333336,140.09838166666665,-6.151878828850687,-4.8078300803899765,7.807742516679452,0.8364331385502699,-68.29929169836475,16.30770882772793,-20.606221166763213,20,20,20
36.11158833333333,140.09833166666667,36.111628333333336,140.09838166666665,-5.101557839297702,-4.437997506931424,6.761783363819738,1.1135305624393683,89.3497030402951,-138.32872142679986,154.6364302545278,18,16,18
36.11158833333333,140.09834833333332,36.111628333333336,140.09838166666665,-3.7511454671073188,-4.437998190522194,5.8109311004759,1.3504123721905565,-88.08996257923927,47.88434276950324,173.7869358036969,18,17,18
36.11158833333333,140.09836166666668,36.111628333333336,140.09838166666665,-2.400733048775692,-4.253082040697336,4.883874078678324,1.3630141899666055,-103.02131405169094,73.57793224968285,-25.693589480179604,18,18,16
36.11158833333333,140.09837666666667,36.111628333333336,140.09838166666665,-1.2003665497491967,-4.437998911365867,4.5974682370889095,1.214526237280598,-101.48391263616499,86.3489887607849,-12.77105651110206,18,18,11
36.11158666666667,140.09839166666666,36.111628333333336,140.09838166666665,0.15004582561120489,-4.622915617190301,4.625349992535195,1.3630142228236222,-78.68958853681183,80.54858323015185,5.800405530633057,18,18,13
36.11158833333333,140.09839833333334,36.111628333333336,140.09838166666665,1.3504124007217628,-4.622915513813496,4.816114772291106,1.2003665751105623,-3.2422092203890704,19.525964132366155,61.02261909778569,18,18,17
36.11159166666667,140.09839666666667,36.111628333333336,140.09838166666665,1.350412343658702,-4.253082266077399,4.462322518591395,0.36983324773610077,29.785127044986012,-12.169765085451218,31.695729217817373,18,18,18
36.111601666666665,140.098395,36.111628333333336,140.09838166666665,1.3504122295325667,-3.5134157678112388,3.764001002547124,0.7396664982661693,25.252899726688206,-4.228197083635244,-7.941568001815973,18,17,18
36.111605,140.09839333333332,36.111628333333336,140.09838166666665,1.0503205099776112,-2.5888326866552234,2.7937837878357965,0.7396664982661693,26.603540879411923,-4.520555512445199,-7.941568001815973,18,17,18
36.111628333333336,140.09839,36.111628333333336,140.09838166666665,0.7502287950040135,-0.9245830932632089,1.1906708786231976,0.7396664982661693,43.48744390882974,24.70039329353729,-7.941568001815973,18,17,18
