"lati, longi, g_lati, g_longi, x, y, distance, move, theta_abs, theta_rela, theta_delta, duty, duty_R, duty_L"
36.11232833333333,140.09851,36.11215500000002,140.0984816666668,2.5507549795386195,19.23133138148114,19.399754062100435,6086091.117980163,-98.91116665664286,-88.6441819554409,1000,25,25,25
36.11232833333333,140.09851333333333,36.11215500000002,140.0984816666668,2.5507549795386195,19.23133138148114,19.399754062100435,0.0,-107.39574261549626,-80.15960599658752,-8.484575958853384,25,19,25
36.112323333333336,140.09853333333334,36.11215500000002,140.0984816666668,3.45102152107552,19.046415043529123,19.356535732131896,0.9190614222414063,-127.9808562178744,-62.289150585177254,-17.870455411410262,25,22,25
36.112315,140.09854333333334,36.11215500000002,140.0984816666668,5.101510509469278,18.306749261450022,19.004275255842472,1.8086512571492983,-156.12438802770873,-39.44707975370778,-22.84207083146947,25,21,25
36.11230166666667,140.09855666666667,36.11215500000002,140.0984816666668,5.8517333865972025,17.197249851189554,18.165576954009897,1.3393368906792755,-143.60930846776066,-55.182665651356956,15.735585897649173,25,23,25
36.11228833333333,140.09857166666666,36.11215500000002,140.0984816666668,7.352179092419892,15.717917813919485,17.352448755496834,2.1070739409463926,-145.24413175633913,-59.82407878029335,4.641413128936392,25,19,25
36.112278333333336,140.09858,36.11215500000002,140.0984816666668,8.552536309121406,14.238585737068206,16.60973212037696,1.905067148761041,-155.05214063778485,-55.93937584455449,-3.884702935738858,25,21,25
36.11226166666667,140.09858333333332,36.11215500000002,140.0984816666668,9.002670938064806,13.129086316563189,15.919201975188438,1.1973346016360598,170.3449705003321,-24.783570638267037,-31.155805206287454,25,24,25
36.11225,140.09858833333334,36.11215500000002,140.0984816666668,9.302762134555493,11.095003534574062,14.47896704756007,2.0561000681376966,-169.47284526979695,-50.505779811191985,25.72220917292495,25,23,25
36.11223833333333,140.09859166666666,36.11215500000002,140.0984816666668,9.75289702257677,9.985504156444222,13.95812643556977,1.1973346597691175,-166.48677425449904,-57.83805504445661,7.332275233264625,25,19,25
36.11223833333333,140.09859166666666,36.11215500000002,140.0984816666668,9.902942428317685,9.245837748516351,13.548202257512413,0.7547317528770571,-172.04946648774532,-54.91590972379953,-2.92214532065708,25,21,25
36.11223833333333,140.09859166666666,36.11215500000002,140.0984816666668,9.902942428317685,9.245837748516351,13.548202257512413,0.0,165.82532416071714,-32.790700372261995,-22.125209351537535,25,24,25
36.11223833333333,140.09859166666666,36.11215500000002,140.0984816666668,9.902942428317685,9.245837748516351,13.548202257512413,0.0,169.22505017361453,-36.190426385159384,3.399726012897389,25,18,25
36.11223833333333,140.09859166666666,36.11215500000002,140.0984816666668,9.902942428317685,9.245837748516351,13.548202257512413,0.0,157.9470815149815,-24.912457726526355,-11.277968658633029,25,23,25
36.11223833333333,140.09859166666666,36.11215500000002,140.0984816666668,9.902942428317685,9.245837748516351,13.548202257512413,0.0,148.7797706791618,-15.74514689070665,-9.167310835819706,25,22,25
36.11223833333333,140.09859166666666,36.11215500000002,140.0984816666668,9.902942428317685,9.245837748516351,13.548202257512413,0.0,136.9481009034849,-3.913477115029764,-11.831669775676886,25,21,25
