goal_latitude,goal_longitude
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
36.112435,140.09903
